% File: interest.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'potential expect', 'banks throughout', 'JJ VBP', 'NNS IN', 'readiness to give attention'
'key allowing', 'rate drift', 'JJ VBG', 'NN VB', 'money paid for the use of money'
'funds federal', 'rate dip', 'NNS JJ', 'NN VB', 'money paid for the use of money'
'influences rate', 'rates come', 'VBZ NN', 'NNS VB', 'money paid for the use of money'
'short-term bring', 'rates fed', 'JJ VB', 'NNS NP', 'money paid for the use of money'
'lower supply', 'rates easy', 'JJR VB', 'NNS JJ', 'money paid for the use of money'
'lower fed', 'rates obstinate', 'VB NP', 'NNS JJ', 'money paid for the use of money'
'short-term lower', 'rates pumping', 'JJ VB', 'NNS VBG', 'money paid for the use of money'
'right fears', 'rates go', 'RB VBZ', 'NNS VB', 'money paid for the use of money'
'concerning intentions', 'lockheed', 'VBG NNS', 'NP', 'a share in a company or business'
'increase additional', 'rates help', 'NN JJ', 'NNS VB', 'money paid for the use of money'
'earnings concerns', 'rates rather', 'NNS NNS', 'NNS RB', 'money paid for the use of money'
'base Xs', 'rate stands', 'NN POS', 'NN VBZ', 'money paid for the use of money'
'lower pressure', 'rates', 'VB NN', 'NNS', 'money paid for the use of money'
'Xs simmons', 'company', 'POS NP', 'NN', 'readiness to give attention'
'1987 fall', 'rates nXt', 'AB NN', 'NNS RB', 'money paid for the use of money'
'lower quickly', 'rates move', 'VB RB', 'NNS NN', 'money paid for the use of money'
'lower move', 'rates example', 'VB NN', 'NNS NN', 'money paid for the use of money'
'raised germany', 'rates', 'VBD NP', 'NNS', 'money paid for the use of money'
'lower nXt', 'rates merely', 'VB RB', 'NNS RB', 'money paid for the use of money'
'deductibility tax', 'certain debt-financed', 'NN NN', 'JJ JJ', 'money paid for the use of money'
'bond government', 'rates currently', 'NN NN', 'NNS RB', 'money paid for the use of money'
'pay flow', 'instead based', 'VB NN', 'RB VBN', 'money paid for the use of money'
'fees moreover', 'rates paid', 'NNS RB', 'NNS VBN', 'money paid for the use of money'
'expressed banks', 'ual transaction', 'VBN NNS', 'NP NN', 'readiness to give attention'
'years count', 'income loans', 'NNS VB', 'NN NNS', 'money paid for the use of money'
'', 'rate promised', '', 'NN VBD', 'money paid for the use of money'
'difference narrowing', 'rates uXsX', 'NN VBG', 'NNS NP', 'money paid for the use of money'
'reduce begun', 'rates go', 'VB VBN', 'NNS VB', 'money paid for the use of money'
'lower', 'rates usually', 'JJR', 'NNS RB', 'money paid for the use of money'
'uXsX concluded', 'rates remain', 'NP VBD', 'NNS VB', 'money paid for the use of money'
'domestic official', 'rates mostly', 'JJ JJ', 'NNS RB', 'money paid for the use of money'
'raising germans', 'rates fundamentals', 'VBG NNS', 'NNS NNS', 'money paid for the use of money'
'uXsX lower', 'rates', 'NP JJR', 'NNS', 'money paid for the use of money'
'statement said', 'fair orderly', 'NN VBD', 'JJ JJ', 'advantage, advancement or favor'
'sold corpX', 'parisian chain', 'VBN NP', 'JJ NN', 'a share in a company or business'
'hooker buy', 'company', 'NP VB', 'NN', 'a share in a company or business'
'weak dollar', 'rates rising', 'JJ NN', 'NNS VBG', 'money paid for the use of money'
'% 100', 'well', 'NN AB', 'NN', 'a share in a company or business'
'business broader', 'better cushioned', 'NN JJR', 'RBR VBN', 'a share in a company or business'
'Xs pANDg', 'superconcentrated detergent', 'POS NP', 'JJ NN', 'readiness to give attention'
'agencies uXsX', 'korean agencies', 'NNS NP', 'JJ NNS', 'a share in a company or business'
'pessimism persists', 'rates caused', 'NN VBZ', 'NNS VBN', 'money paid for the use of money'
'allow unlikely', 'rates fall', 'VB JJ', 'NNS VB', 'money paid for the use of money'
'caused losses', 'payments debt', 'VBN NNS', 'NNS NN', 'money paid for the use of money'
'banks given', 'loans used', 'NNS VBN', 'NNS VBN', 'money paid for the use of money'
'cash postpone', 'payments', 'NN VBP', 'NNS', 'money paid for the use of money'
'current given', 'rates still', 'JJ VBN', 'NNS RB', 'money paid for the use of money'
'1987 unlike', 'rates falling', 'AB IN', 'NNS VBG', 'money paid for the use of money'
'ease board', 'rates much', 'VB NP', 'NNS RB', 'money paid for the use of money'
'telephone cellular', 'separate transaction', 'NN JJ', 'JJ NN', 'a share in a company or business'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'minority acquiring', '', 'NN VBG', '', 'a share in a company or business'
'decline resulting', 'rates value', 'NN VBG', 'NNS NN', 'money paid for the use of money'
'lower effects', 'rates lower', 'JJR NNS', 'NNS JJR', 'money paid for the use of money'
'short-term bring', 'rates effort', 'JJ VB', 'NNS NN', 'money paid for the use of money'
'key lowered', 'rate known', 'JJ VBD', 'NN VBN', 'money paid for the use of money'
'pay securities', '', 'VBP NNS', '', 'money paid for the use of money'
'personal pursue', '', 'JJ VB', '', 'activity, etc. that one gives attention to'
'also', 'military electronics', 'RB', 'JJ NNS', 'a share in a company or business'
'annual', 'rate next', 'JJ', 'NN JJ', 'money paid for the use of money'
'valued reasonably', 'rates lower', 'VBN RB', 'NNS JJR', 'money paid for the use of money'
'base Xs', 'rate', 'NN POS', 'NN', 'money paid for the use of money'
'bank companies', 'follows similar', 'NN NNS', 'VBZ JJ', 'a share in a company or business'
'hefty weight', 'payments', 'JJ NN', 'NNS', 'money paid for the use of money'
'tardy caused', 'payments put', 'JJ VBD', 'NNS VB', 'money paid for the use of money'
'shift significant', 'rate outlook', 'NN JJ', 'NN NN', 'money paid for the use of money'
'coupon billion', 'payments', 'NN AB', 'NNS', 'money paid for the use of money'
'default months', 'payments covering', 'VB NNS', 'NNS VBG', 'money paid for the use of money'
'suspended bonds', 'payments', 'VBN NNS', 'NNS', 'money paid for the use of money'
'pay unlikely', 'total $', 'VB JJ', 'NN NN', 'money paid for the use of money'
'compound 1980s', 'reaching says', 'JJ AB', 'NN VBZ', 'money paid for the use of money'
'compound exorbitant', '', 'NN JJ', '', 'money paid for the use of money'
'borrowing businesses', 'rates higher', 'VBG NNS', 'NNS JJR', 'money paid for the use of money'
'airways british', 'companies fly', 'NPS NP', 'NNS VBP', 'a share in a company or business'
'', 'income fee', '', 'NN NN', 'money paid for the use of money'
'skim bank', 'pasok Xs', 'VB NN', 'NP POS', 'money paid for the use of money'
'mutual topics', 'said gibson', 'JJ NNS', 'VBD NP', 'advantage, advancement or favor'
'Xs nbc', 'may revive', 'POS NP', 'MD VB', 'readiness to give attention'
'minority passive', 'program-maker without', 'NN JJ', 'NN IN', 'a share in a company or business'
'Xs nbc', 'qintex bid', 'POS NP', 'NP NN', 'readiness to give attention'
'stand ought', 'Xs essential', 'VB MD', 'VBZ JJ', 'advantage, advancement or favor'
'protecting warner', '', 'VBG NP', '', 'advantage, advancement or favor'
'pay citic', 'rate 0X5', 'VB NP', 'NN AB', 'money paid for the use of money'
'exact calculate', 'rate currency', 'JJ VB', 'NN NN', 'money paid for the use of money'
'expect officials', 'rates decline', 'VBP NNS', 'NNS VB', 'money paid for the use of money'
'fit think', 'people', 'JJ VBP', 'NNS', 'advantage, advancement or favor'
'rates exchange', 'rates', 'NNS NN', 'NNS', 'money paid for the use of money'
'high inflation', 'rates mrX', 'JJ NN', 'NNS NP', 'money paid for the use of money'
'uXsX possibility', 'rates cut', 'NP NN', 'NNS NN', 'money paid for the use of money'
'short-term environment', 'rates already', 'JJ NN', 'NNS RB', 'money paid for the use of money'
'controlling %', 'honeywell bull', 'VBG NN', 'NP NP', 'a share in a company or business'
'difference narrowing', 'rates loans', 'NN VBG', 'NNS NNS', 'money paid for the use of money'
'much said', 'company recently', 'JJ VBD', 'NN RB', 'readiness to give attention'
'allowing reserve', 'rates ease', 'VBG NP', 'NNS VB', 'money paid for the use of money'
'true %', 'cost', 'JJ NN', 'NN', 'money paid for the use of money'
'bonds foreign', 'rates inflation', 'NNS JJ', 'NNS NN', 'money paid for the use of money'
'sold green', 'sheller-globe united', 'VBD NP', 'NP NP', 'a share in a company or business'
'uXsX reduced', 'panama nXt', 'NP VBN', 'NP RB', 'readiness to give attention'
'pensions federal', 'payments -', 'NNS JJ', 'NNS ?', 'money paid for the use of money'
'lower move', 'rates remains', 'VB NN', 'NNS VBZ', 'money paid for the use of money'
'falling support', 'rates', 'VBG NN', 'NNS', 'money paid for the use of money'
'change combined', 'rates reminding', 'NN VBN', 'NNS VBG', 'money paid for the use of money'
'telephone cellular', 'separate transaction', 'NN JJ', 'JJ NN', 'a share in a company or business'
'profit operating', 'corporate expense', 'NN NN', 'JJ NN', 'money paid for the use of money'
'high pound', 'rates long', 'JJ NN', 'NNS JJ', 'money paid for the use of money'
'caused losses', 'payments debt', 'VBN NNS', 'NNS NN', 'money paid for the use of money'
'cash postpone', 'payments', 'NN VBP', 'NNS', 'money paid for the use of money'
'marketplace self-interest', 'society frequently', 'NN NN', 'NN RB', 'advantage, advancement or favor'
'cut moves', 'rates', 'VB NNS', 'NNS', 'money paid for the use of money'
'priced 1994', 'rate float', 'VBN AB', 'NN VB', 'money paid for the use of money'
'high performance', 'rates pay', 'JJ NN', 'NNS VB', 'money paid for the use of money'
'net rise', 'revenue 6', 'JJ NN', 'NN AB', 'money paid for the use of money'
'net points', 'margin year-ago', 'JJ NNS', 'NN JJ', 'money paid for the use of money'
'declining period', 'rates primarily', 'VBG NN', 'NNS RB', 'money paid for the use of money'
'reduced restructuring', 'rate large', 'VBN NN', 'NN JJ', 'money paid for the use of money'
'westmin norcen', 'oil gas', 'NP NP', 'NN NN', 'a share in a company or business'
'made loans', 'rates fees', 'VBN NNS', 'NNS NNS', 'money paid for the use of money'
'majority sell', 'italian-based landini', 'NN VB', 'JJ NP', 'a share in a company or business'
'minority substantial', 'landini company', 'NN JJ', 'NP NN', 'a share in a company or business'
'lower nXt', 'rates rein', 'VB RB', 'NNS VB', 'money paid for the use of money'
'', 'adjustable june', '', 'JJ NP', 'money paid for the use of money'
'14 19', '', 'AB AB', '', 'money paid for the use of money'
'lower bonds', 'payments says', 'VB NNS', 'NNS VBZ', 'money paid for the use of money'
'costs carrying', 'dividends risen', 'NNS NN', 'NNS VBN', 'money paid for the use of money'
'provide terms', 'reset twice', 'VBP NNS', 'NN RB', 'money paid for the use of money'
'caused business', 'junk bonds', 'VBD NN', 'NN NNS', 'money paid for the use of money'
'annual Xs', 'payments $', 'JJ POS', 'NNS NN', 'money paid for the use of money'
'equity say', 'divided among', 'NN VB', 'VBN IN', 'a share in a company or business'
'pursue resigned', '', 'VB VBD', '', 'activity, etc. that one gives attention to'
'said nXmX', 'merger proposal', 'VBD NP', 'NN NN', 'readiness to give attention'
'ge settlement', 'electrical products', 'NP NN', 'JJ NNS', 'a share in a company or business'
'decline citing', 'rates overly', 'NN VBG', 'NNS RB', 'money paid for the use of money'
'inflation forecasts', 'rates year', 'NN NNS', 'NNS NN', 'money paid for the use of money'
'% 6X7', 'rate three-month', 'NN AB', 'NN JJ', 'money paid for the use of money'
'also ge', 'consumer industrial', 'RB NP', 'NN JJ', 'a share in a company or business'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'corpX technologies', 'making helicopters', 'NP NPS', 'VBG NNS', 'a share in a company or business'
'separate stripped', 'principal components', 'JJ VBN', 'JJ NNS', 'money paid for the use of money'
'higher require', 'rate regular', 'JJR VB', 'NN JJ', 'money paid for the use of money'
'% 35X45', 'tank maker', 'NN AB', 'NN NN', 'a share in a company or business'
'company', 'publishing large-typeface', 'NN', 'VBG NN', 'a share in a company or business'
'controlling brought', 'sprint gte', 'JJ VBD', 'NP NP', 'a share in a company or business'
'net slimmer', 'margin -', 'JJ JJR', 'NN ?', 'money paid for the use of money'
'net', 'income rose', 'JJ', 'NN VBD', 'money paid for the use of money'
'million 82', 'payments owed', 'AB AB', 'NNS VBN', 'money paid for the use of money'
'Xs state', 'protecting potential', 'POS NN', 'VBG JJ', 'readiness to give attention'
'falling', 'rates prompt', 'VBG', 'NNS VBP', 'money paid for the use of money'
'feel', 'rates pretty', 'VBP', 'NNS RB', 'money paid for the use of money'
'X buyers', 'hotels', 'POS NNS', 'NNS', 'readiness to give attention'
'debt back', 'payments recently', 'NN RB', 'NNS RB', 'money paid for the use of money'
'debt back', 'payments oppose', 'NN RB', 'NNS VBP', 'money paid for the use of money'
'Xs nbc', 'never meant', 'POS NP', 'RB VBN', 'readiness to give attention'
'things went', 'debt new', 'NNS VBD', 'NN JJ', 'money paid for the use of money'
'debt run-up', '1980s', 'NN NN', 'NNS', 'money paid for the use of money'
'net debt', 'payments $', 'JJ NN', 'NNS NN', 'money paid for the use of money'
'taken', 'religion reads', 'VBN', 'NN VBZ', 'readiness to give attention'
'intense stirred', 'among major', 'JJ VBN', 'IN JJ', 'readiness to give attention'
'commercial', 'intense', 'JJ', 'JJ', 'readiness to give attention'
'broad Xs', 'cholesterol across', 'JJ VBZ', 'NN IN', 'readiness to give attention'
'watching saying', '', 'VBG VBG', '', 'readiness to give attention'
'short-term retreat', 'rates', 'JJ NN', 'NNS', 'money paid for the use of money'
'short-term higher', 'rates previous', 'JJ JJR', 'NNS JJ', 'money paid for the use of money'
'noted negus', 'rates generally', 'VBD NP', 'NNS RB', 'money paid for the use of money'
'reinvested dividends', 'rates remain', 'VBN NNS', 'NNS VBP', 'money paid for the use of money'
'voting %', '', 'NN NN', '', 'a share in a company or business'
'presidency american', '', 'NN JJ', '', 'readiness to give attention'
'best believe', 'cooperate little', 'JJS VB', 'VB RB', 'advantage, advancement or favor'
'japanese rise', 'rates gained', 'JJ NN', 'NNS VBD', 'money paid for the use of money'
'Xs fed', 'rate stance', 'POS NP', 'NN NN', 'money paid for the use of money'
'allowing nXt', 'rates drift', 'VBG RB', 'NNS VB', 'money paid for the use of money'
'reduce nXt', 'rates important', 'VB RB', 'NNS JJ', 'money paid for the use of money'
'national Xs', 'four five', 'JJ POS', 'AB AB', 'advantage, advancement or favor'
'changes price', '- 13X35', 'NNS NN', '? AB', 'money paid for the use of money'
'lower pay', 'rates bonds', 'JJR VB', 'NNS NNS', 'money paid for the use of money'
'tremendous Xs', 'protection event', 'JJ VBZ', 'NN NN', 'readiness to give attention'
'changes price', 'income investment-grade', 'NNS NN', 'NN JJ', 'money paid for the use of money'
'allocate required', 'expenses consolidated', 'VB VBN', 'NNS JJ', 'money paid for the use of money'
'financing debt', 'expenses allocated', 'NN NN', 'NNS VBN', 'money paid for the use of money'
'thus', 'expenses uXsX', 'RB', 'NNS NP', 'money paid for the use of money'
'consolidate required', 'expenses preserve', 'VB VBN', 'NNS VB', 'money paid for the use of money'
'comparable holders', 'rates money-market', 'JJ NNS', 'NNS JJ', 'money paid for the use of money'
'open', 'number contracts', 'JJ', 'NN NNS', 'a share in a company or business'
'open december', 'equivalent 236,913', 'JJ NP', 'JJ AB', 'a share in a company or business'
'open contracts', 'december options', 'JJ NNS', 'NP NNS', 'a share in a company or business'
'open total', 'copper futures', 'JJ JJ', 'NN NNS', 'a share in a company or business'
'open disparity', 'deliverable supplies', 'JJ NN', 'JJ NNS', 'a share in a company or business'
