% File: interest_whole-phrase.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE class_senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'time warner emphasized news release evaluated based cash flow company defined earnings', 'taxes depreciation amortization', 'NP NP VBD NN NN VBN VBN NN NN NN VBD NNS', 'NNS NN NN', 'money paid for the use of money'
'machinists X criticisms labor-management bid threats strike unless received substantial wage increases year helped cool banks X', 'financing transaction', 'NNS POS NNS JJ NN NNS NN IN VBD JJ NN NNS NN VBD VB NNS POS', 'VBG NN', 'readiness to give attention'
'chief financial officer john pope sowed seeds deal Xs failure insisting banks accept financing fees', 'rates invested transaction small fraction $ 114X3 million stood sale ual stock options', 'JJ JJ NN NP NP VBD NNS NN POS NN VBG NNS VB NN NNS', 'NNS VBD NN JJ NN NN AB AB VBD NN NP NN NNS', 'money paid for the use of money'
'issue includes current', 'bonds due 1991-2000 2009 2012 2014 2016 capital appreciation bonds due 2001-2005', 'NN VBZ JJ', 'NNS JJ AB AB AB AB AB NN NN NNS JJ AB', 'money paid for the use of money'
'current', 'serial bonds priced yield 6X15 % 1991 7X10 % 2000', 'JJ', 'NN NNS VBN VB AB NN AB AB NN AB', 'money paid for the use of money'
'', 'bonds treated preference item calculating federal alternative minimum tax may imposed certain investors', '', 'NNS VBN NN NN VBG JJ JJ JJ NN MD VBN JJ NNS', 'money paid for the use of money'
'economic slowdown heavy debt loads reduce flexibility companies cash normally used keep company buoyant diverted', 'payments', 'JJ NN JJ NN NNS VBP NN NNS NN RB VBN VB NN JJ VBN', 'NNS', 'money paid for the use of money'
'mrX goodson statement less upbeat saying unfortunately past years become increasingly clear ralph different agendas feels comfortable management team whose sole', 'responsibility goodson papers', 'NP NP NN RBR JJ VBG RB JJ NNS VBN RB JJ NP JJ NNS VBZ JJ NN NN WP JJ', 'NN NP NNS', 'activity, etc. that one gives attention to'
'allianz holds 50 % stake navigation mixte Xs insurance', 'acquired three weeks ago', 'NP VBZ AB NN NN NP NP POS NN', 'VBN AB NNS RB', 'a share in a company or business'
'payment allianz insurance', 'bought help swell french concern Xs treasury estimated 11 billion francs', 'NN NP NN', 'VBN VB VB JJ NN POS NN JJ AB AB NNS', 'a share in a company or business'
'rockwell international corpX bought ikegai corpX Xs', 'ikegai-goss joint venture two companies based tokyo', 'NP NP NP VBD NP NP POS', 'NP JJ NN AB NNS VBN NP', 'a share in a company or business'
'news good bonds economic weakness sometimes causes federal reserve lower', 'rates effort stimulate economy stave recession', 'NN JJ NNS JJ NN RB VBZ NP NP VB', 'NNS NN VB NN VB NN', 'money paid for the use of money'
'far money managers bond buyers nXt shown much', 'refcorp bonds', 'RB NN NNS NN NNS RB VBN JJ', 'NP NNS', 'readiness to give attention'
'rare case company big majority holder probably act', 'minority holders one investor says', 'JJ NN NN JJ NN NN RB VB', 'NN NNS AB NN VBZ', 'advantage, advancement or favor'
'itel bought 17 % stake sante pacific last year olympia AND york later purchased 20 % stake', 'new realty company line holdings sante pacific', 'NP VBD AB NN NN NP NP JJ NN NP CC NP RB VBD AB NN NN', 'JJ NN NN NN NNS NP NP', 'a share in a company or business'
'note accrue', 'rate 13X5 % year payable fund five years according stephen eX roulac real estate consultant working fund', 'NN VB', 'NN AB NN NN JJ NN AB NNS VBG NP NP NP JJ NN NN VBG NN', 'money paid for the use of money'
'purpose note provide added capital spun-off company form save spending cash immediate', 'payments mrX roulac said', 'NN NN VB JJ NN JJ NN NN VB VBG NN JJ', 'NNS NP NP VBD', 'money paid for the use of money'
'financial-services firm struggling since summer avoid bankruptcy-law filing missing', 'payments $ 1 billion debt retain right regain subsidiary', 'NNS NN VBG IN NN VB NN NN VBG', 'NNS NN AB AB NN VB NN VB NN', 'money paid for the use of money'
'kikkoman 30 1,600 receiving investor', 'land property holdings near tokyo trader said', 'NP AB AB VBG NN', 'NN NN NNS IN NP NN VBD', 'readiness to give attention'
'banking stocks major gainers monday amid hope', 'rates peaked deutsche bank dresdner bank added 4 marks 664 marks $ 357 326 marks respectively', 'NN NNS JJ NNS NP IN NN', 'NNS VBN NP NP NP NP VBD AB NNS AB NNS NN AB AB NNS RB', 'money paid for the use of money'
'monday october 23 1989 key uXsX foreign annual', 'rates guide general levels nXt always represent actual transactions', 'NP NP AB AB JJ NP JJ JJ', 'NNS NN JJ NNS RB RB VB JJ NNS', 'money paid for the use of money'
'', 'income rose 29 % $ 1X35 billion $ 1X05 billion', '', 'NN VBD AB NN NN AB AB NN AB AB', 'money paid for the use of money'
'annualized', 'rates certain investments reported federal reserve board weekly-average basis a-discounted rate', 'JJ', 'NNS JJ NNS VBN NP NP NP JJ NN LS NN', 'money paid for the use of money'
'reflecting new-found', '140 uXsX companies taking part moscow exhibition organized mrX forrester Xs trade group', 'VBG JJ', 'AB NP NNS VBG NN NP NN VBN NP NP POS NN NN', 'readiness to give attention'
'statement mrX skase said basis current', 'rates australia company Xs asset sales reduce *interest expense a$ 120 million year addition eliminating certain liabilities', 'NN NP NP VBD NN JJ', 'NNS NP NN POS NN NNS VB NN NN NN AB AB NN NN VBG JJ NNS', 'money paid for the use of money'
'called unlawful termination mgmua acquisition agreement qintex high australian', 'rates pilots X strike australian domestic airlines cut revenue company Xs australian resorts delays completing sale two regional tv stations queensland state', 'VBD JJ NN NP NN NN NP JJ JJ', 'NNS NNS POS NN JJ JJ NNS VBD NN NN POS JJ NNS NNS VBG NN AB JJ NN NNS NP NN', 'money paid for the use of money'
'statement mrX skase said preliminary accounts showed group profit', 'tax depreciation exceed a$ 170 million', 'NN NP NP VBD JJ NNS VBD NN NN', 'NN NN VB NN AB AB', 'money paid for the use of money'
'mrX skase also disclosed disagreement among directors qintex australia certain fees claimed qintex group management services ptyX management-services concern qintex australia executives', '', 'NP NP RB VBD NN IN NNS NP NP JJ NNS VBN NP NP NP NP NP JJ NN NP NP NNS', '', 'a share in a company or business'
'military buyers shown', 'national says ferroelectric chips resist atomic radiation', 'JJ NNS VBN', 'JJ VBZ JJ NNS VBP JJ NN', 'readiness to give attention'
'company said earnings increased nXt actively repurchasing shares thus increasing', 'expense reducing *interest income', 'NN VBD NNS VBN RB RB VBG NNS RB VBG', 'NN VBG NN NN', 'money paid for the use of money'
'junk market mushroomed $ 200 billion less $ 2 billion start decade declining months issuers stumbled weight hefty', 'payments', 'NN NN VBD NN AB AB JJR NN AB AB NN NN VBG NNS NNS VBN NN JJ', 'NNS', 'money paid for the use of money'
'campeau developed cash squeeze caused tardy', 'payments put prestigious bloomingdale Xs department store chain sale', 'NP VBD NN NN VBD JJ', 'NNS VB JJ NP POS NN NN NN NN', 'money paid for the use of money'
'new canaan investments closely held investment partnership', 'primarily packaging industry', 'NP NP NP RB VBN NN NN', 'RB NN NN', 'a share in a company or business'
'aside generale belgique asahi syndicate includes antwerpsche hypotheekkas belgian savings bank various family', '', 'RB NP NP NP NN VBZ NP NP JJ NN NN JJ NN', '', 'a share in a company or business'
'even without bid talk year Xs surge prices brussels real estate excited', '', 'RB IN NN NN NN POS NN NNS NP JJ NN VBN', '', 'readiness to give attention'
'individuals close ford side negotiations said late last week noX 2 uXsX auto maker lost', 'became clear swedish auto maker Xs automotive operations little offer way image technology', 'NNS JJ NP NN NNS VBD RB JJ NN NN AB NP NN NN VBD', 'VBD JJ JJ NN NN POS JJ NNS JJ VB NN NN NN', 'readiness to give attention'
'retains', 'acquiring candies articles sold tobacco shops', 'VBZ', 'VBG NNS NNS VBN NN NNS', 'readiness to give attention'
'emphasizes cathay nXt', 'swapping equity stakes uXsX carrier lufthansa west german airline cooperated decade', 'VBZ NP RB', 'VBG NN NNS NP NN NP JJ JJ NN VBN NN', 'readiness to give attention'
'friday october 20 1989 key uXsX foreign annual', 'rates guide general levels nXt always represent actual transactions', 'NP NP AB AB JJ NP JJ JJ', 'NNS NN JJ NNS RB RB VB JJ NNS', 'money paid for the use of money'
'$ 1,000 notes maker specialty metals industrial fasteners consumer products pay $ 1,026X46 plus $ 8X68', 'accrued decX 1', 'NN AB NNS NN NN NNS JJ NNS NN NNS VB NN AB CC NN AB', 'VBN NP AB', 'money paid for the use of money'
'Xs horrible say Xs unfortunate earthquake nXt phoenix - knocked empty buildings said cXwX jackson prominent arizona businessman', 'real estate banking many businesses', 'VBZ JJ VB VBZ JJ NN RB NP ? VBN JJ NNS VBD NP NP JJ NP NN', 'JJ NN NN JJ NNS', 'a share in a company or business'
'next weeks consulting political advisers democratic leaders best way preserving', 'constituents said mrX garcia 56 years old', 'JJ NNS VBG JJ NNS JJ NNS JJS NN VBG', 'NNS VBD NP NP AB NNS JJ', 'advantage, advancement or favor'
'net', 'bill jumped 85 % a$ 686X7 million a$ 371X1 million', 'JJ', 'NN VBD AB NN NN AB AB NN AB AB', 'money paid for the use of money'
'bond corpX', 'brewing media communications natural resources property', 'NP NP', 'NN NNS NNS JJ NNS NN', 'a share in a company or business'
'earnings', 'tax brewing dived 50 % a$ 123X8 million a$ 247X3 million', 'NNS', 'NN NN VBD AB NN NN AB AB NN AB AB', 'money paid for the use of money'
'reason high', 'rates labor costs', 'NN JJ', 'NNS NN NNS', 'money paid for the use of money'
'believe', 'rates continue trend lower economy slow around world', 'VBP', 'NNS VB VB RBR NN VB IN NN', 'money paid for the use of money'
'people showed staying power fact', 'buying equities', 'NNS VBD NN NN NN', 'VBG NNS', 'readiness to give attention'
'', 'natural environment dates youth', '', 'JJ NN VBZ NN', 'readiness to give attention'
'comsat video pay $ 17 million 62X5 %', 'messrsX lee bynoe putting $ 8 million 37X5 % stake team', 'NP NP VB NN AB AB AB NN', 'NPS NP NP VBG NN AB AB AB NN NN NN', 'a share in a company or business'
'company attributed decline consumers X concern', 'rates gas prices - two key expenses rv buyers', 'NN VBD NN NNS POS NN', 'NNS NN NNS ? AB NN NNS NN NNS', 'money paid for the use of money'
'analysts insist even without help shaky stock market provided temporary boost bonds octX 13 stock market plunge bond prices start climb prospects federal reserve allow', 'rates move lower coming weeks', 'NNS VBP RB IN NN JJ NN NN VBD JJ NN NNS NP AB NN NN NN NN NNS VB VB NNS NP NP VB', 'NNS VB RBR VBG NNS', 'money paid for the use of money'
'investors rushed buy bonds summer prices soared speculation', 'rates continue fall', 'NNS VBD VB NNS NN NNS VBD NN', 'NNS VB VB', 'money paid for the use of money'
'total return price changes plus', 'income', 'JJ NN NN NNS CC', 'NN', 'money paid for the use of money'
'james kochan chief fixed-income strategist merrill lynch touting shorter-term securities says benefit quickly longer-term bonds', 'rates fall', 'NP NP JJ JJ NN NP NP VBG JJR NNS VBZ VB RB JJR NNS', 'NNS VBP', 'money paid for the use of money'
'spokesman said issue sold met strong', 'abroad particularly japanese investors', 'NN VBD NN VBN VBD JJ', 'RB RB JJ NNS', 'readiness to give attention'
'plan proposed uXsX secretary state nicholas brady calls banks either make new loans reduce principle existing loans cut', 'rate existing loans', 'NN VBN NP NP NP NP NP VBZ NNS CC VB JJ NNS VB NN JJ NNS VB', 'NN VBG NNS', 'money paid for the use of money'
'general electric coX recently sold', 'liquid-crystal displays thompson-csf france', 'NP NP NP RB VBD', 'JJ NNS NP NP', 'a share in a company or business'
'growth stocks may underperform cyclical stocks next year federal reserve begins let', 'rates drift sufficiently lower boost economy', 'NN NNS MD VB JJ NNS IN NN NP NP VBZ VB', 'NNS VB RB RBR VB NN', 'money paid for the use of money'
'funds used refinancing existing debt washington dXcX concern lower', 'rates general purposes', 'NNS VBN VBG VBG NN NP NP NN JJR', 'NNS JJ NNS', 'money paid for the use of money'
'home beneficial corpX richmond vaX said contracted sell 50 %', 'richmond-area shopping mall buyer nXt identified', 'NP NP NP NP NP VBD VBD VB AB NN', 'JJ NN NN NN RB VBN', 'a share in a company or business'
'saatchi Xs troubles whipped', 'among outsiders *interested picking pieces businesses', 'NP POS NNS VBN', 'IN NNS VBN VBG NNS NNS', 'readiness to give attention'
'insofar mrX dingell special', 'nih institutions receive funding rockefeller scientists doubt discomfited drX baltimore Xs unflattering public opinion congressional patron whose behavior reminded drX baltimore mccarthy era', 'RB NP NP JJ', 'NP NNS VBP NN NP NNS RB JJ NP NP POS JJ JJ NN JJ NN WP NN VBD NP NP NP NN', 'advantage, advancement or favor'
'mansion house speech mrX lawson warned slowdown expected impact last rise', 'rates earlier month takes effect', 'NP NP NN NP NP VBD NN VBN NN JJ NN', 'NNS RBR NN VBZ NN', 'money paid for the use of money'
'certainly chancellor made clear prepared increase', 'rates necessary ensure substantial slowdown take place sterling nXt decline', 'RB NN VBN JJ VBN VB', 'NNS JJ VB JJ NN VB NN NN RB VB', 'money paid for the use of money'
'investors still waiting see uXsX government decide', 'rates dollar stabilized', 'NNS RB VBG VB NP NN VB', 'NNS NN VBN', 'money paid for the use of money'
'london weak throughout friday Xs trading however dealers attributed generally thin', 'ahead weekend week Xs potentially important uXkX trade figures september', 'NP JJ IN NP POS NN RB NNS VBN RB JJ', 'RB NN NN VBZ RB JJ NP NN NNS NP', 'readiness to give attention'
'', 'may remain limited tomorrow Xs uXkX trade figures market watching closely see improvement disappointing numbers previous two months', '', 'MD VB JJ NN POS NP NN NNS NN VBG RB VB NN JJ NNS JJ AB NNS', 'readiness to give attention'
'idea let small investors backbone fund business deal money market Xs high short-term', 'rates', 'NN VB JJ NNS NN NN NN VB NN NN POS JJ JJ', 'NNS', 'money paid for the use of money'
'eventually money funds X success forced relaxation curbs bank', 'rates allow banks offer competing yields', 'RB NN NNS POS NN VBD NN NNS NN', 'NNS VB NNS VB VBG NNS', 'money paid for the use of money'
'spokesman refused comment speculation industrial equity', 'platform launch hostile bid company', 'NN VBD VB NN NP NP', 'NN VB JJ NN NN', 'a share in a company or business'
'surveys prospective investors gathered board room philippine government Xs asset privatization trust sale 36 %', 'country Xs largest paper mill', 'VBZ JJ NNS VBN NN NN JJ NN POS NP NP NP NN AB NN', 'NN POS JJS NN NN', 'a share in a company or business'
'current holders also receive minority', 'new company', 'JJ NNS RB VB NN', 'JJ NN', 'a share in a company or business'
'new structure similar recapitalization holders get special dividend yet retain controlling ownership', '', 'JJ NN JJ NN NNS VBP JJ NN CC VBP JJ NN', '', 'a share in a company or business'
'succeeds paul pX aniskovich jrX resigned pursue business', 'company said', 'VBZ NP NP NP NP VBD VB NN', 'NN VBD', 'activity, etc. that one gives attention to'
